date,outcome,case_count,total_pop,Rate
3/1/2020,death,0,5562663,0
3/2/2020,death,0,5562663,0
3/3/2020,death,0,5562663,0
3/4/2020,death,0,5562663,0
3/5/2020,death,0,5562663,0
3/6/2020,death,0,5562663,0
3/7/2020,death,0,5562663,0
3/8/2020,death,0,5562663,0
3/9/2020,death,0,5562663,0
3/10/2020,death,0,5562663,0
3/11/2020,death,0,5562663,0
3/12/2020,death,0,5562663,0
3/13/2020,death,0,5562663,0
3/14/2020,death,0,5562663,0
3/15/2020,death,0,5562663,0
3/16/2020,death,0,5562663,0
3/17/2020,death,0,5562663,0
3/18/2020,death,0,5562663,0
3/19/2020,death,1,5562663,0.02
3/20/2020,death,0,5562663,0
3/21/2020,death,0,5562663,0
3/22/2020,death,0,5562663,0
3/23/2020,death,0,5562663,0
3/24/2020,death,1,5562663,0.02
3/25/2020,death,1,5562663,0.02
3/26/2020,death,2,5562663,0.04
3/27/2020,death,4,5562663,0.07
3/28/2020,death,3,5562663,0.05
3/29/2020,death,0,5562663,0
3/30/2020,death,5,5562663,0.09
3/31/2020,death,2,5562663,0.04
4/1/2020,death,5,5562663,0.09
4/2/2020,death,3,5562663,0.05
4/3/2020,death,1,5562663,0.02
4/4/2020,death,5,5562663,0.09
4/5/2020,death,5,5562663,0.09
4/6/2020,death,10,5562663,0.18
4/7/2020,death,6,5562663,0.11
4/8/2020,death,7,5562663,0.13
4/9/2020,death,8,5562663,0.14
4/10/2020,death,6,5562663,0.11
4/11/2020,death,4,5562663,0.07
4/12/2020,death,4,5562663,0.07
4/13/2020,death,10,5562663,0.18
4/14/2020,death,6,5562663,0.11
4/15/2020,death,17,5562663,0.31
4/16/2020,death,10,5562663,0.18
4/17/2020,death,17,5562663,0.31
4/18/2020,death,17,5562663,0.31
4/19/2020,death,16,5562663,0.29
4/20/2020,death,21,5562663,0.38
4/21/2020,death,26,5562663,0.47
4/22/2020,death,21,5562663,0.38
4/23/2020,death,19,5562663,0.34
4/24/2020,death,23,5562663,0.41
4/25/2020,death,18,5562663,0.32
4/26/2020,death,17,5562663,0.31
4/27/2020,death,21,5562663,0.38
4/28/2020,death,15,5562663,0.27
4/29/2020,death,30,5562663,0.54
4/30/2020,death,18,5562663,0.32
5/1/2020,death,30,5562663,0.54
5/2/2020,death,19,5562663,0.34
5/3/2020,death,29,5562663,0.52
5/4/2020,death,23,5562663,0.41
5/5/2020,death,19,5562663,0.34
5/6/2020,death,25,5562663,0.45
5/7/2020,death,30,5562663,0.54
5/8/2020,death,20,5562663,0.36
5/9/2020,death,26,5562663,0.47
5/10/2020,death,19,5562663,0.34
5/11/2020,death,25,5562663,0.45
5/12/2020,death,20,5562663,0.36
5/13/2020,death,22,5562663,0.4
5/14/2020,death,20,5562663,0.36
5/15/2020,death,20,5562663,0.36
5/16/2020,death,20,5562663,0.36
5/17/2020,death,22,5562663,0.4
5/18/2020,death,19,5562663,0.34
5/19/2020,death,34,5562663,0.61
5/20/2020,death,25,5562663,0.45
5/21/2020,death,17,5562663,0.31
5/22/2020,death,20,5562663,0.36
5/23/2020,death,26,5562663,0.47
5/24/2020,death,25,5562663,0.45
5/25/2020,death,30,5562663,0.54
5/26/2020,death,29,5562663,0.52
5/27/2020,death,25,5562663,0.45
5/28/2020,death,21,5562663,0.38
5/29/2020,death,17,5562663,0.31
5/30/2020,death,11,5562663,0.2
5/31/2020,death,20,5562663,0.36
6/1/2020,death,23,5562663,0.41
6/2/2020,death,21,5562663,0.38
6/3/2020,death,25,5562663,0.45
6/4/2020,death,26,5562663,0.47
6/5/2020,death,18,5562663,0.32
6/6/2020,death,12,5562663,0.22
6/7/2020,death,22,5562663,0.4
6/8/2020,death,12,5562663,0.22
6/9/2020,death,13,5562663,0.23
6/10/2020,death,10,5562663,0.18
6/11/2020,death,12,5562663,0.22
6/12/2020,death,11,5562663,0.2
6/13/2020,death,13,5562663,0.23
6/14/2020,death,11,5562663,0.2
6/15/2020,death,8,5562663,0.14
6/16/2020,death,9,5562663,0.16
6/17/2020,death,17,5562663,0.31
6/18/2020,death,9,5562663,0.16
6/19/2020,death,8,5562663,0.14
6/20/2020,death,12,5562663,0.22
6/21/2020,death,11,5562663,0.2
6/22/2020,death,6,5562663,0.11
6/23/2020,death,10,5562663,0.18
6/24/2020,death,1,5562663,0.02
6/25/2020,death,9,5562663,0.16
6/26/2020,death,6,5562663,0.11
6/27/2020,death,5,5562663,0.09
6/28/2020,death,11,5562663,0.2
6/29/2020,death,7,5562663,0.13
6/30/2020,death,9,5562663,0.16
7/1/2020,death,2,5562663,0.04
7/2/2020,death,3,5562663,0.05
7/3/2020,death,5,5562663,0.09
7/4/2020,death,4,5562663,0.07
7/5/2020,death,6,5562663,0.11
7/6/2020,death,4,5562663,0.07
7/7/2020,death,2,5562663,0.04
7/8/2020,death,9,5562663,0.16
7/9/2020,death,4,5562663,0.07
7/10/2020,death,3,5562663,0.05
7/11/2020,death,4,5562663,0.07
7/12/2020,death,6,5562663,0.11
7/13/2020,death,2,5562663,0.04
7/14/2020,death,6,5562663,0.11
7/15/2020,death,7,5562663,0.13
